Date,Action_Target,Price,Position_State,Portfolio_Value
2019-10-31,FLAT,40129.05078125,0,100000.0
2019-11-01,FLAT,40165.03125,0,100000.0
2019-11-04,FLAT,40301.9609375,0,100000.0
2019-11-05,FLAT,40248.23046875,0,100000.0
2019-11-06,FLAT,40469.78125,0,100000.0
2019-11-07,FLAT,40653.73828125,0,100000.0
2019-11-08,FLAT,40323.609375,0,100000.0
2019-11-11,FLAT,40345.078125,0,100000.0
2019-11-13,FLAT,40116.05859375,0,100000.0
2019-11-14,FLAT,40286.48046875,0,100000.0
2019-11-15,FLAT,40356.69140625,0,100000.0
2019-11-18,FLAT,40284.19140625,0,100000.0
2019-11-19,FLAT,40469.69921875,0,100000.0
2019-11-20,FLAT,40651.640625,0,100000.0
2019-11-21,FLAT,40575.171875,0,100000.0
2019-11-22,FLAT,40359.41015625,0,100000.0
2019-11-25,FLAT,40889.23046875,0,100000.0
2019-11-26,FLAT,40821.30078125,0,100000.0
2019-11-27,FLAT,41020.609375,0,100000.0
2019-11-28,FLAT,41130.171875,0,100000.0
2019-11-29,FLAT,40793.80859375,0,100000.0
2019-12-02,FLAT,40802.171875,0,100000.0
2019-12-03,FLAT,40675.44921875,0,100000.0
2019-12-04,FLAT,40850.2890625,0,100000.0
2019-12-05,FLAT,40779.58984375,0,100000.0
2019-12-06,FLAT,40445.1484375,0,100000.0
2019-12-09,FLAT,40487.4296875,0,100000.0
2019-12-10,FLAT,40239.87890625,0,100000.0
2019-12-11,FLAT,40412.5703125,0,100000.0
2019-12-12,FLAT,40581.7109375,0,100000.0
2019-12-13,FLAT,41009.7109375,0,100000.0
2019-12-16,FLAT,40938.71875,0,100000.0
2019-12-17,FLAT,41352.171875,0,100000.0
2019-12-18,FLAT,41558.5703125,0,100000.0
2019-12-19,FLAT,41673.921875,0,100000.0
2019-12-20,FLAT,41681.5390625,0,100000.0
2019-12-23,FLAT,41642.66015625,0,100000.0
2019-12-24,FLAT,41461.26171875,0,100000.0
2019-12-26,FLAT,41163.76171875,0,100000.0
2019-12-27,FLAT,41575.140625,0,100000.0
2019-12-30,FLAT,41558.0,0,100000.0
2019-12-31,FLAT,41253.73828125,0,100000.0
2020-01-02,FLAT,41626.640625,0,100000.0
2020-01-03,FLAT,41464.609375,0,100000.0
2020-01-06,FLAT,40676.62890625,0,100000.0
2020-01-07,FLAT,40869.46875,0,100000.0
2020-01-08,FLAT,40817.73828125,0,100000.0
2020-01-09,FLAT,41452.3515625,0,100000.0
2020-01-10,FLAT,41599.71875,0,100000.0
2020-01-13,FLAT,41859.69140625,0,100000.0
2020-01-14,FLAT,41952.62890625,0,100000.0
2020-01-15,FLAT,41872.73046875,0,100000.0
2020-01-16,FLAT,41932.55859375,0,100000.0
2020-01-17,FLAT,41945.37109375,0,100000.0
2020-01-20,FLAT,41528.91015625,0,100000.0
2020-01-21,FLAT,41323.80859375,0,100000.0
2020-01-22,FLAT,41115.37890625,0,100000.0
2020-01-23,FLAT,41386.3984375,0,100000.0
2020-01-24,FLAT,41613.19140625,0,100000.0
2020-01-27,FLAT,41155.12109375,0,100000.0
2020-01-28,FLAT,40966.859375,0,100000.0
2020-01-29,FLAT,41198.66015625,0,100000.0
2020-01-30,FLAT,40913.8203125,0,100000.0
2020-01-31,FLAT,40723.48828125,0,100000.0
2020-02-03,SHORT,39872.30859375,-1,98165.859375
2020-02-04,SHORT,40789.37890625,-1,97459.296875
2020-02-05,SHORT,41142.66015625,-1,97132.5546875
2020-02-06,SHORT,41306.03125,-1,97460.9140625
2020-02-07,SHORT,41141.8515625,-1,97785.375
2020-02-10,SHORT,40979.62109375,-1,97312.3359375
2020-02-11,SHORT,41216.140625,-1,97307.3359375
2020-02-12,SHORT,41565.8984375,-1,97519.5546875
2020-02-13,FLAT,41459.7890625,0,97514.5546875
2020-02-14,FLAT,41257.73828125,0,97514.5546875
2020-02-17,FLAT,41055.69140625,0,97514.5546875
2020-02-18,FLAT,40894.37890625,0,97514.5546875
2020-02-19,FLAT,41323.0,0,97514.5546875
2020-02-20,FLAT,41170.12109375,0,97514.5546875
2020-02-24,SHORT,40363.23046875,-1,97678.6171875
2020-02-25,SHORT,40281.19921875,-1,98463.09375
2020-02-26,SHORT,39888.9609375,-1,98749.6953125
2020-02-27,SHORT,39745.66015625,-1,101646.4375
2020-02-28,SHORT,38297.2890625,-1,101952.9765625
2020-03-02,SHORT,38144.01953125,-1,100993.6171875
2020-03-03,SHORT,38623.69921875,-1,100988.6171875
2020-03-04,SHORT,38409.48046875,-1,100866.359375
2020-03-05,FLAT,38470.609375,0,100861.359375
2020-03-06,SHORT,37576.62109375,-1,104744.703125
2020-03-09,SHORT,35634.94921875,-1,104619.8046875
2020-03-11,SHORT,35697.3984375,-1,110458.3203125
2020-03-12,SHORT,32778.140625,-1,107807.640625
2020-03-13,SHORT,34103.48046875,-1,113234.4609375
2020-03-16,SHORT,31390.0703125,-1,114856.421875
2020-03-17,SHORT,30579.08984375,-1,114851.421875
2020-03-18,SHORT,28869.509765625,-1,116595.259765625
